year,res,com,ind
2014,0.005,0.005,0.005
2015,0.005,0.005,0.005
2016,0.005,0.005,0.005
2017,0.005,0.005,0.005
2018,0.005,0.005,0.005
2019,0.005,0.005,0.005
2020,0.005,0.005,0.005
2021,0.005,0.005,0.005
2022,0.005,0.005,0.005
2023,0.005,0.005,0.005
2024,0.005,0.005,0.005
2025,0.005,0.005,0.005
2026,0.005,0.005,0.005
2027,0.005,0.005,0.005
2028,0.005,0.005,0.005
2029,0.005,0.005,0.005
2030,0.005,0.005,0.005
2031,0.005,0.005,0.005
2032,0.005,0.005,0.005
2033,0.005,0.005,0.005
2034,0.005,0.005,0.005
2035,0.005,0.005,0.005
2036,0.005,0.005,0.005
2037,0.005,0.005,0.005
2038,0.005,0.005,0.005
2039,0.005,0.005,0.005
2040,0.005,0.005,0.005
2041,0.005,0.005,0.005
2042,0.005,0.005,0.005
2043,0.005,0.005,0.005
2044,0.005,0.005,0.005
2045,0.005,0.005,0.005
2046,0.005,0.005,0.005
2047,0.005,0.005,0.005
2048,0.005,0.005,0.005
2049,0.005,0.005,0.005
2050,0.005,0.005,0.005
