year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2016,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2017,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2018,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2019,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2020,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2021,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2022,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2023,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2024,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2025,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2026,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2027,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2028,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2029,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2030,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2031,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2032,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2033,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2034,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2035,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2036,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2037,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2038,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2039,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2040,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2041,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2042,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2043,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2044,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2045,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2046,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2047,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2048,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2049,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
2050,3096.324736,2249.114594,2249.114594,20,15,15,0,0,0
