year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,3100.009363,2251.79104,2251.79104,18,13.5,13.5,0,0,0
2016,2806.39543,2073.756512,2073.756512,17.2,12.9,12.9,0,0,0
2017,2512.781498,1895.721984,1895.721984,16.4,12.3,12.3,0,0,0
2018,2219.167565,1717.687456,1717.687456,15.6,11.7,11.7,0,0,0
2019,1925.553633,1539.652928,1539.652928,14.8,11.1,11.1,0,0,0
2020,1631.9397,1361.6184,1361.6184,14,10.5,10.5,0,0,0
2021,1583.69853,1313.44176,1313.44176,13.3,9.95,9.95,0,0,0
2022,1535.45736,1265.26512,1265.26512,12.6,9.4,9.4,0,0,0
2023,1487.21619,1217.08848,1217.08848,11.9,8.85,8.85,0,0,0
2024,1438.97502,1168.91184,1168.91184,11.2,8.3,8.3,0,0,0
2025,1390.73385,1120.7352,1120.7352,10.5,7.75,7.75,0,0,0
2026,1342.49268,1072.55856,1072.55856,9.8,7.2,7.2,0,0,0
2027,1294.25151,1024.38192,1024.38192,9.1,6.65,6.65,0,0,0
2028,1246.01034,976.20528,976.20528,8.4,6.1,6.1,0,0,0
2029,1197.76917,928.02864,928.02864,7.7,5.55,5.55,0,0,0
2030,1149.528,879.852,879.852,7,5,5,0,0,0
2031,1128.721543,863.9266788,863.9266788,7,5,5,0,0,0
2032,1107.915086,848.0013576,848.0013576,7,5,5,0,0,0
2033,1087.10863,832.0760364,832.0760364,7,5,5,0,0,0
2034,1066.302173,816.1507152,816.1507152,7,5,5,0,0,0
2035,1045.495716,800.225394,800.225394,7,5,5,0,0,0
2036,1024.689259,784.3000728,784.3000728,7,5,5,0,0,0
2037,1003.882802,768.3747516,768.3747516,7,5,5,0,0,0
2038,983.0763456,752.4494304,752.4494304,7,5,5,0,0,0
2039,962.2698888,736.5241092,736.5241092,7,5,5,0,0,0
2040,941.463432,720.598788,720.598788,7,5,5,0,0,0
2041,920.6569752,704.6734668,704.6734668,7,5,5,0,0,0
2042,899.8505184,688.7481456,688.7481456,7,5,5,0,0,0
2043,879.0440616,672.8228244,672.8228244,7,5,5,0,0,0
2044,858.2376048,656.8975032,656.8975032,7,5,5,0,0,0
2045,837.431148,640.972182,640.972182,7,5,5,0,0,0
2046,816.6246912,625.0468608,625.0468608,7,5,5,0,0,0
2047,795.8182344,609.1215396,609.1215396,7,5,5,0,0,0
2048,775.0117776,593.1962184,593.1962184,7,5,5,0,0,0
2049,754.2053208,577.2708972,577.2708972,7,5,5,0,0,0
2050,733.398864,561.345576,561.345576,7,5,5,0,0,0
