control_reg_id,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
1,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
2,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
3,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
4,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
5,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
6,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
7,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
8,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
9,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
10,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
11,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
12,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
13,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
14,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
15,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
16,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
17,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
18,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
19,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
20,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
21,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
22,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
23,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
24,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
25,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
26,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
27,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
28,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
29,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
30,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
31,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
32,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
33,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
34,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
35,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
36,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
37,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
38,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
39,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
40,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
41,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
42,0.023,0.043,0.032,0.035,0.06,0.041,0.044,0.047,0.079,0.053,0.056,0.094,0.062,0.065,0.068,0.113,0.074,0.077,0.08
