state_id,loan_rate,real_discount,down_payment,sector_abbr
1,0.054,0.12489882903260552,0.2,res
2,0.054,0.14171859853205926,0.2,res
3,0.054,0.1742410254042992,0.2,res
4,0.054,0.22805628644847592,0.2,res
7,0.054,0.12272384557386636,0.2,res
8,0.054,0.1540614565541861,0.2,res
5,0.054,0.3883564910984937,0.2,res
6,0.054,0.15948237394020529,0.2,res
9,0.054,0.10361599655326287,0.2,res
10,0.054,0.20215421071258216,0.2,res
11,0.054,0.20016541260828757,0.2,res
12,0.054,0.3932634753573682,0.2,res
13,0.054,0.23924510301743374,0.2,res
14,0.054,0.15144178245549247,0.2,res
15,0.054,0.16776531413008355,0.2,res
16,0.054,0.25276277523888663,0.2,res
17,0.054,0.1885919155549401,0.2,res
18,0.054,0.20563095293049596,0.2,res
19,0.054,0.1,0.2,res
20,0.054,0.4,0.2,res
21,0.054,0.27262536736986265,0.2,res
22,0.054,0.17189062764467833,0.2,res
23,0.054,0.17418178460970318,0.2,res
24,0.054,0.2516672052193448,0.2,res
25,0.054,0.16943713551524106,0.2,res
26,0.054,0.15940466848235857,0.2,res
27,0.054,0.19277339242025576,0.2,res
28,0.054,0.16412854483066366,0.2,res
29,0.054,0.191297758082137,0.2,res
30,0.054,0.2969348659003832,0.2,res
31,0.054,0.2273130837526351,0.2,res
32,0.054,0.17924110234039609,0.2,res
1,0.054,0.12489882903260552,0.2,com
2,0.054,0.14171859853205926,0.2,com
3,0.054,0.1742410254042992,0.2,com
4,0.054,0.22805628644847592,0.2,com
7,0.054,0.12272384557386636,0.2,com
8,0.054,0.1540614565541861,0.2,com
5,0.054,0.3883564910984937,0.2,com
6,0.054,0.15948237394020529,0.2,com
9,0.054,0.10361599655326287,0.2,com
10,0.054,0.20215421071258216,0.2,com
11,0.054,0.20016541260828757,0.2,com
12,0.054,0.3932634753573682,0.2,com
13,0.054,0.23924510301743374,0.2,com
14,0.054,0.15144178245549247,0.2,com
15,0.054,0.16776531413008355,0.2,com
16,0.054,0.25276277523888663,0.2,com
17,0.054,0.1885919155549401,0.2,com
18,0.054,0.20563095293049596,0.2,com
19,0.054,0.1,0.2,com
20,0.054,0.4,0.2,com
21,0.054,0.27262536736986265,0.2,com
22,0.054,0.17189062764467833,0.2,com
23,0.054,0.17418178460970318,0.2,com
24,0.054,0.2516672052193448,0.2,com
25,0.054,0.16943713551524106,0.2,com
26,0.054,0.15940466848235857,0.2,com
27,0.054,0.19277339242025576,0.2,com
28,0.054,0.16412854483066366,0.2,com
29,0.054,0.191297758082137,0.2,com
30,0.054,0.2969348659003832,0.2,com
31,0.054,0.2273130837526351,0.2,com
32,0.054,0.17924110234039609,0.2,com
1,0.054,0.12489882903260552,0.2,ind
2,0.054,0.14171859853205926,0.2,ind
3,0.054,0.1742410254042992,0.2,ind
4,0.054,0.22805628644847592,0.2,ind
7,0.054,0.12272384557386636,0.2,ind
8,0.054,0.1540614565541861,0.2,ind
5,0.054,0.3883564910984937,0.2,ind
6,0.054,0.15948237394020529,0.2,ind
9,0.054,0.10361599655326287,0.2,ind
10,0.054,0.20215421071258216,0.2,ind
11,0.054,0.20016541260828757,0.2,ind
12,0.054,0.3932634753573682,0.2,ind
13,0.054,0.23924510301743374,0.2,ind
14,0.054,0.15144178245549247,0.2,ind
15,0.054,0.16776531413008355,0.2,ind
16,0.054,0.25276277523888663,0.2,ind
17,0.054,0.1885919155549401,0.2,ind
18,0.054,0.20563095293049596,0.2,ind
19,0.054,0.1,0.2,ind
20,0.054,0.4,0.2,ind
21,0.054,0.27262536736986265,0.2,ind
22,0.054,0.17189062764467833,0.2,ind
23,0.054,0.17418178460970318,0.2,ind
24,0.054,0.2516672052193448,0.2,ind
25,0.054,0.16943713551524106,0.2,ind
26,0.054,0.15940466848235857,0.2,ind
27,0.054,0.19277339242025576,0.2,ind
28,0.054,0.16412854483066366,0.2,ind
29,0.054,0.191297758082137,0.2,ind
30,0.054,0.2969348659003832,0.2,ind
31,0.054,0.2273130837526351,0.2,ind
32,0.054,0.17924110234039609,0.2,ind
