year,pv_price_res,pv_price_com,pv_price_ind,pv_om_res,pv_om_com,pv_om_ind,pv_variable_om_res,pv_variable_om_com,pv_variable_om_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,3100.009363,2251.79104,2251.79104,18,13.5,13.5,0,0,0
2016,2806.39543,2073.756512,2073.756512,17.2,12.9,12.9,0,0,0
2017,2512.781498,1895.721984,1895.721984,16.4,12.3,12.3,0,0,0
2018,2219.167565,1717.687456,1717.687456,15.6,11.7,11.7,0,0,0
2019,1925.553633,1539.652928,1539.652928,14.8,11.1,11.1,0,0,0
2020,1631.9397,1361.6184,1361.6184,14,10.5,10.5,0,0,0
2021,1522.59293,1266.67136,1266.67136,13.3,9.95,9.95,0,0,0
2022,1413.24616,1171.72432,1171.72432,12.6,9.4,9.4,0,0,0
2023,1303.89939,1076.77728,1076.77728,11.9,8.85,8.85,0,0,0
2024,1194.55262,981.83024,981.83024,11.2,8.3,8.3,0,0,0
2025,1085.20585,886.8832,886.8832,10.5,7.75,7.75,0,0,0
2026,975.85908,791.93616,791.93616,9.8,7.2,7.2,0,0,0
2027,866.51231,696.98912,696.98912,9.1,6.65,6.65,0,0,0
2028,757.16554,602.04208,602.04208,8.4,6.1,6.1,0,0,0
2029,647.81877,507.09504,507.09504,7.7,5.55,5.55,0,0,0
2030,538.472,412.148,412.148,7,5,5,0,0,0
2031,528.7256568,404.6881212,404.6881212,7,5,5,0,0,0
2032,518.9793136,397.2282424,397.2282424,7,5,5,0,0,0
2033,509.2329704,389.7683636,389.7683636,7,5,5,0,0,0
2034,499.4866272,382.3084848,382.3084848,7,5,5,0,0,0
2035,489.740284,374.848606,374.848606,7,5,5,0,0,0
2036,479.9939408,367.3887272,367.3887272,7,5,5,0,0,0
2037,470.2475976,359.9288484,359.9288484,7,5,5,0,0,0
2038,460.5012544,352.4689696,352.4689696,7,5,5,0,0,0
2039,450.7549112,345.0090908,345.0090908,7,5,5,0,0,0
2040,441.008568,337.549212,337.549212,7,5,5,0,0,0
2041,431.2622248,330.0893332,330.0893332,7,5,5,0,0,0
2042,421.5158816,322.6294544,322.6294544,7,5,5,0,0,0
2043,411.7695384,315.1695756,315.1695756,7,5,5,0,0,0
2044,402.0231952,307.7096968,307.7096968,7,5,5,0,0,0
2045,392.276852,300.249818,300.249818,7,5,5,0,0,0
2046,382.5305088,292.7899392,292.7899392,7,5,5,0,0,0
2047,372.7841656,285.3300604,285.3300604,7,5,5,0,0,0
2048,363.0378224,277.8701816,277.8701816,7,5,5,0,0,0
2049,353.2914792,270.4103028,270.4103028,7,5,5,0,0,0
2050,343.545136,262.950424,262.950424,7,5,5,0,0,0
